Kategori,Başlık,İçerik
Bilim Teknoloji,Togg'u üretecek robotlar parçasız provalara başladı,"Togg'un Gemlik tesisindeki binaların inşaatında son aşamaya gelinirken, gövde bölümüne yerleştirilen 160 robot, parçasız provalara başladı."
Bilim Teknoloji,Kritik tesislerin güvenliği ASELSAN'ın yerli X-Ray cihazlarına emanet,"Sınır kapıları, gümrükler, devlet binaları gibi birçok tesisin güvenliğinin sağlanmasında önemli rol oynayan ASELSAN X-Ray Bagaj Kontrol Cihazları, Tokat Havalimanında da kullanılacak."
Bilim Teknoloji,Twitter'ın iOS uygulamasında GIF yapılabilecek,"Twitter, iOS kullanıcıları için uygulama içi GIF'leri daha kolay oluşturmak için yeni bir seçenek ekledi."
Bilim Teknoloji,İnternet çerezleri ne içeriyor?,"İnternet sitelerinde dolaşırken ""çerez"" bildirimleri ile sıklıkla karşılaşıyoruz. Çoğu kişinin anlamını bilmediği çerezler ne anlama geliyor? Bunlara düşünmeden onay vermek ne kadar doğru? Yanıtları haberimizde."
Bilim Teknoloji,"Avustralya'dan internet şirketlerine ""dezenformasyon"" kontrolü","Avustralya İletişim ve Medya Kurumu, yeni bir yasa kapsamında, internet şirketlerini dezenformasyonları nasıl ele aldıkları konusunda verileri paylaşmaya zorlayabilecek."
Bilim Teknoloji,Togg yıl sonunda üretime başlayacak,"Sanayi ve Teknoloji Bakan Yardımcısı Mehmet Fatih Kacır, ""Yılsonu itibariyle artık Türkiye'nin otomobili Togg üretime başlamış olacak. Testlerin hepsinde de Togg çok başarılı"" dedi."
Bilim Teknoloji,Avustralya'nın insansız savaş uçağına 'Hayalet Yarasa' ismi verildi,"Avustralya Savunma Bakanı Peter Dutton, tüm testlerini başarıyla tamamlayan Avustralya ve Boeing ortak yapımı ilk insansız savaş uçağına ""MQ-28A Ghost Bat"" (MQ-28A Hayalet Yarasa) isminin verildiğini bildirdi."
Bilim Teknoloji,Rusya’da Facebook ve Instagram’ın faaliyetleri yasaklandı,"Rusya’da Facebook ve Instagram aşırılık yanlısı olarak tanımlanırken, çatı kuruluşları Meta’nın faaliyetleri yasaklandı."
Bilim Teknoloji,Rusya'da Telegram kullanımı WhatsApp'ı geçti,"Rusya’nın en büyük mobil operatörlerinden Megafon, Telegram’ın WhatsApp’ı geçerek ilk defa ülkenin en çok kullanılan mesajlaşması uygulaması olduğunu açıkladı."
Bilim Teknoloji,Antrenman verilerini kaydeden yerli cihaz geliştirildi,"Gazi Üniversiteli bilim insanları, geliştirdikleri antrenman verilerini kaydeden yerli cihazla Türk sporuna katkı sağlamayı hedefliyor."
ÖZEL HABER,Türkiye'nin ilk lityum iyon pil üretim tesisi seri üretim aşamasına geldi,"Türkiye enerji alanında çok önemli bir adım daha attı. Türk Silahlı Kuvvetleri Güçlendirme Vakfı'na bağlı ASPİLSAN Enerji, Lityum İyon Pil Üretim Tesisi'nde seri üretim aşamasına geldi. Kayseri'de kurulan yeni tesisi ilk kez TRT Haber görüntüledi."
Bilim Teknoloji,Togg zorlu hava koşullarında böyle test ediliyor,Sıfırın altında 40 dereceye varan zorlu hava koşullarında sınanan yerli ve milli otomobil Togg'un test görüntüleri paylaşıldı.
Bilim Teknoloji,Hava tahminleri nasıl yapılıyor?,Hava tahminleri gündelik hayatın planlanmasında büyük önem taşıyor. Peki bu tahminler nasıl yapılıyor?
Bilim Teknoloji,Kara birliklerinin silahı havan dronla havalandı,"Dronlar, kara birliklerinin en eski silahlarından olan havanı gökyüzüne çıkarıp havadan ateş desteği vermeye hazırlanıyor."
Bilim Teknoloji,Çip krizinde yeni dalga: Neon gazı ve paladyum endişesi,"COVID-19 salgını ve Rusya-Ukrayna savaşının neden olduğu küresel tedarik zincirindeki bozulmaya, yarı iletken çip üretiminde önemli yeri olan neon gazı ve paladyum gibi maddelerin üretiminde yaşanan sıkıntı da eklendi."
Bilim Teknoloji,Dünyanın en büyük uydu fuarına Türkiye çıkarması,"Türkiye, ABD'de düzenlenecek dünyanın en büyük uydu fuarı Satellite 2022'ye Türk Havacılık ve Uzay Sanayii, Türksat ve Profen firmalarıyla katılacak."
Bilim Teknoloji,Songar yerli roketleri ateşledi,"Türkiye'nin ilk milli silahlı drone sisteminin silahlarına 40 milimetre çapında mini roket eklendi. Songar, ilk atış testini başarıyla tamamladı."
Bilim Teknoloji,TEKNOFEST Dron Şampiyonası için son başvuru 1 Nisan,"3 etaptan oluşacak olan Türkiye Dron Şampiyonası'na katılacaklar için son başvuru tarihi 1 Nisan'da. Kastamonu, Sinop ve Artvin'de gerçekleştirilecek şampiyonanın finali TEKNOFEST 2022 Samsun’da düzenlenecek."
Bilim Teknoloji,Bilim insanları: Hawking'in 'bilgi paradoksu' olarak tanımladığı çelişki açığa kavuşturuldu,"Bilim insanları, kara deliklerin işleyişine ilişkin geliştirdikleri “saçlılık teorisinin”, ilk kez ünlü fizikçi Profesör Stephen Hawking tarafından 1974’te tanımlanan “bilgi paradoksunu” açıkladığını iddia etti."
Bilim Teknoloji,Netflix şifre paylaşma dönemini bitiriyor,"Netflix, hesapların üyelerin hanesi dışında ek bir ücret karşılığında paylaşılmasına izin verecek özelliği test ettiğini açıkladı."
Bilim Teknoloji,Microsoft Türkiye AR-GE Merkezi açıldı,"Türkiye'ye yatırımlarını sürdüren Microsoft, Microsoft Türkiye bünyesinde faaliyet gösterecek AR-GE merkezinin açılışını yaptı. Merkezde, yerli yazılım ve inovasyonda Türk şirketlerinin potansiyelini ortaya çıkaracak çalışmalar yürütülecek."
Bilim Teknoloji,Take Off Bakü başvuruları devam ediyor,"Azerbaycan TEKNOFEST için hazırlıklar tüm hızıyla sürerken, festival kapsamında düzenlenen Take Off Bakü için de başvurular 31 Mart’a kadar devam ediyor. Take Off Bakü, 26-28 Mayıs tarihlerinde Bakü Crystall Hall’de düzenlenecek."
Bilim Teknoloji,Nano-laboratuvarlar 15 dakikada sonuç verecek,"ABD'den Türkiye'ye dönen bilim insanı Fatih İnci'nin liderliğindeki ekip, başta kanser olmak üzere çeşitli hastalıklara kısa sürede teşhis koyabilen nano-laboratuvarlar kuruyor."
Bilim Teknoloji,"Rus devlet siteleri ""eşi görülmemiş"" siber saldırıların hedefinde","Rusya Dijital Kalkınma, Haberleşme ve Kitle İletişim Bakanlığı, Rus devlet sitelerinin benzeri görülmemiş siber saldırılarla karşı karşıya olduğunu duyurdu."
Bilim Teknoloji,Instagram'a ebeveyn denetimleri geliyor,"Meta, Instagram'da ebeveyn denetimi araçlarını kullanıma sunuyor."
Bilim Teknoloji,Instagram'da NFT dönemi başlıyor,"Meta CEO'su Mark Zuckerberg, Instagram'ın NFT özelliği için çalıştığını doğruladı."
Bilim Teknoloji,TEKNOFEST yarışmalarına yurt dışından başvuru süresi uzatıldı,TEKNOFEST kapsamında düzenlenen teknoloji yarışmalarına yurt dışından katılmak isteyenler başvurularını 31 Mart'a kadar yapabilecek.
Bilim Teknoloji,"Türkiye'yi Ay'a taşıyacak ""Milli Hibrit İtki Sistemi""nin yeni detayları paylaşıldı","Türkiye Uzay Ajansı (TUA), ""Ay Araştırma Görevi""nde (AYAP-1) uzay aracını Ay'a taşıyacak Milli Hibrit İtki Sistemi'ne (HİS) ilişkin detayları paylaştı."
Bilim Teknoloji,Türk bilim insanlarının güneydeki laboratuvarı Antarktika,"Canlı ve yer bilimlerine ilişkin çalışmalar yürüten Türk bilim insanları, yaptıkları araştırmaları Antarktika’ya taşıdı. Ulusal Antarktika Bilim Seferi kapsamında yürütülen çalışmalarla bulunan yeni türleri, literatüre kazandırmak amaçlanıyor."
Bilim Teknoloji,Notre Dame Katedrali'nde antik mezarlar keşfedildi,Fransa'nın başkenti Paris'teki Notre Dame Katedrali'nde tahminen 14'üncü yüzyıldan kalma mezarlar ile kurşundan bir lahit bulundu.
Bilim Teknoloji,"Google, Ukraynalı kullanıcılarına hava saldırısı uyarıları gönderecek","Google, Ukraynalı Android telefon kullanıcılarına, güvenliklerine yardımcı olmak amacıyla gelen hava saldırıları için uyarılar vermeye başlayacağını duyurdu."
ÖZEL HABER,Mavi Vatan'ın muhafızı yeni silah sistemi ile donatıldı,Antalya'da üretilen Silahlı İnsansız Deniz Aracı'na otomatik silah sistemi entegre edildi. Sistem sayesinde karakol ve liman koruma gibi faaliyetler daha kolay ve etkili şekilde yapılabilecek.
Bilim Teknoloji,Bitcoin’in karbon ayak izi altından fazla,"İzmir'de bilim insanları altın ve kripto para birimi Bitcoin'in çevreye olumsuz etkisini kıyasladı. Kripto para karbon ayak izi, altına oranla 25 kat fazla çıktı. Uzmanlar, çevreye zararları ve elektrik tüketimine ilişkin uyarıda bulundu."
Bilim Teknoloji,Yerli ve milli savunma sanayi görücüye çıkıyor,"Yerli ve milli savunma sanayi son teknolojilerini ve ürünlerini sergileyeceği SAHA EXPO Savunma, Havacılık ve Uzay Sanayi Fuarı'nda gücünü göstermeye hazırlanıyor."
Bilim Teknoloji,Togg en iyi markalar arasında yerini aldı,"Türkiye’nin mobilite alanında hizmet veren küresel teknoloji markası Togg, Tüketici Elektroniği Fuarı CES 2022'nin en iyi 6'ncı markası olarak seçildi."
Bilim Teknoloji,AKYA eğitim torpidosunun denizaltıdan atış testi yapıldı,"Milli imkanlarla geliştirilen AKYA eğitim torpidosunun, Marmara'daki denizaltıdan başarılı bir atış testi yapıldı."
Bilim Teknoloji,Ingenuity Mars'taki 21'inci uçuşunu gerçekleştirdi,"NASA'nın Mars'a gönderdiği helikopter ""Ingenuity"" 21'inci uçuşunu tamamladı. Ingenuity, 2021'den bu yana uzayda 4,6 kilometreden fazla yol aldı."
ÖZEL HABER,Uzayda hava durumu nasıl?,"Uydular, Uluslararası Uzay İstasyonu, roketler… Uzayda dünyaya ait artık pek çok şey var. Ancak yaşanan fırtınalar roket ya da uyduların düşmesine neden olabiliyor. Çözümü uzay havası."
Bilim Teknoloji,TÜBİTAK UZAY'a 76 personel alınacak,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu Uzay Teknolojileri̇ Araştırma Enstitüsünde (TÜBİTAK UZAY) görev yapmak üzere 76 proje personeli alınacak.
Bilim Teknoloji,"Çin'de çevrim içi platformlara ""genç modu"" şartı","Çin Siber Uzay İdaresi'nin yeni yönetmelik taslağına göre Çin'de çevrim içi oyun, canlı yayın, ses ve video alanında faaliyet gösteren şirketlere ""genç modu"" sunma şartı getiriliyor."
Bilim Teknoloji,Ordulu öğrencilerin robotu Kanada'da birinci oldu,"Basket atabilen ve tırmanabilen ""Black Storm"" isimli bir robot yapan Ordulu öğrenciler, Kanada'da düzenlenen yarışmada ""ilk kez katılanlar"" klasmanında birinci oldu."
Bilim Teknoloji,Togg zorlu hava koşullarında test ediliyor,"Sıfırın altında 40 dereceye varan zorlu hava koşullarında test edilen Togg, başarılı sonuçlar almaya devam ediyor."
Bilim Teknoloji,Türkiye'nin ilk cep uydusu Grizu-263A'dan 2 ayda 5 bin 500 veri alındı,Zonguldak Bülent Ecevit Üniversitesi Mühendislik Fakültesi öğrencilerinden oluşan Grizu-263A Uzay Takımı tarafından tasarlanarak uzaya gönderilen Türkiye'nin ilk cep uydusundan iki ayda 5 bin 500 veri alındı.
Bilim Teknoloji,Antalya Diplomasi Forumu'nda metaverse oturumu,"Antalya Diplomasi Forumu'nun bu yıl ikincisi düzenleniyor. Forumda diplomasinin yanı sıra teknoloji oturumları da düzenleniyor.  Bu kapsamda günün en dikkat çekici oturumlarından birisi de ""metaverse oturumu"" oldu."
Bilim Teknoloji,TÜBİTAK UZAY ve SAGE kapılarını ziyaretçilere açtı,"Türkiye Bilimsel ve Teknolojik Araştırma Kurumu (TÜBİTAK) 8-14 Mart'ta kutlanan ""Bilim ve Teknoloji Haftası"" kapsamında Uzay Teknolojileri Araştırma Enstitüsü (UZAY) ile Savunma Sanayii Araştırma ve Geliştirme Enstitüsünün (SAGE) kapılarını açtı."
Bilim Teknoloji,"Milli Muharip Uçak, Antalya'dan irtifa kazanacak","Sanayi ve Teknoloji Bakanı Varank, TUSAŞ'ın Antalya'da kuracağı Ar-Ge merkeziyle Milli Muharip Uçak Projesi'nin tasarım ve yazılım çalışmalarının Antalya'da yürütüleceğini söyledi."
Bilim Teknoloji,Bayraktar'dan heyecanlandıran paylaşım: Bayraktar Kızılelma geliyor,"Baykar Teknoloji Lideri Selçuk Bayraktar, Muharip İnsansız Uçak Sistemi'nin (MİUS) üretim hattına giren gövde görselini paylaşarak, ""İnsansız savaş uçağı: Bayraktar Kızılelma yolda, geliyor."" dedi."
Bilim Teknoloji,İnternetin bilinmeyen yüzü: Karanlık Ağ,"Günlük yaşamımızın bir parçası haline gelen internetin tehlikelerle dolu görünmeyen bir yüzü daha var. Derin ağ ve karanlık ağ olarak adlandırılan bu katmanlar, suç örgütlerinin tuzaklarıyla dolu. TRT Haber muhabiri Bahar Toprak bu ağları araştırdı."
Bilim Teknoloji,Yapay Zeka Zirvesi'nde 'NFT' konuşuldu,"1. Yapay Zeka Zirvesi etkinliği çevrim içi olarak gerçekleştirildi. Zirvede ""Kültür ve Sanatta Teknoloji Etkisi: NFT"" konusu ele alındı."
Bilim Teknoloji,TEKNOFEST Girişim Programı başvuruları başladı,"TEKNOFEST Havacılık, Uzay ve Teknoloji Festivali kapsamında, TEKNOFEST Teknoloji Yarışmaları'na katılarak finale kalan takım veya takım üyelerine hibe desteği sağlanıyor."
Bilim Teknoloji,AB'den Google ve Meta'ya görüntülü reklam soruşturması,"Avrupa Birliği, teknoloji şirketleri Google ve Meta'nın dijital reklam faaliyetlerine yönelik rekabet soruşturması başlattı."
Bilim Teknoloji,"""Aile Destek"" uygulaması sosyal hizmetlere erişimi kolaylaştıracak","Sosyal hizmet ve yardımlara ilişkin bilgilerin ve başvuru imkanlarının yer aldığı ""Aile Destek"" mobil uygulaması erişime sunuldu."
Bilim Teknoloji,Türksat 5B'nin yörünge yolculuğu sürüyor,"Türkiye'nin uzaydaki gücüne güç katan Türksat 5B, 19 Aralık 2021'de uzaya gönderildi. 3 ay içerisinde yörüngesine ulaşması beklenen uydu, performans testlerinin ardından hizmete girecek."
Bilim Teknoloji,Dolandırıcıların yeni hedefi: NFT,"Benzersiz dijital varlık ya da İngilizce’deki ismiyle non fungible token; yani NFT… Hayatımızda çok yeni olmasına karşın dolandırıcıları şimdiden türedi. Peki, NFT’mizi nasıl koruruz ve dolandırıcılarla nasıl başa çıkarız?"
Bilim Teknoloji,Türkiye'nin uzay yatırımları savunmaya da ivme katacak,"TUA Başkanı Yıldırım, uzay sistemleri olmazsa ya da eksik kalırsa Türkiye'nin savunma sanayiinde yaptığı yatırımların eksik kalacağını vurgulayarak, ikisinin birleşiminin çok daha yüksek sinerjiyle Türkiye'ye çok şey kazandıracağını söyledi."
Bilim Teknoloji,Uzmanlar: Rusya-Ukrayna büyük siber savaşı henüz gerçekleşmedi,"Siber güvenlik uzmanları, Rusya ile Ukrayna arasında henüz ""yıkıcı"" bir siber savaşın yaşanmadığına dikkat çekiyor."
Bilim Teknoloji,TEKNOFEST 2022'de ilk kez 'Çip Tasarım Yarışması' düzenleniyor,"Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST 5. yılında ilklere imza atmaya devam ediyor. Bu yıl ilk kez düzenlenen ""Çip Tasarım Yarışması"" festivalin yüksek ödüllü yarışmaları arasında yer alıyor."
Bilim Teknoloji,Selçuk Bayraktar: GUHEM çocuklara uzay sevdası aşılayacak,"Baykar Teknoloji Lideri ve T3 Vakfı Mütevelli Heyeti Başkanı Selçuk Bayraktar, Bursa'daki Gökmen Uzay Havacılık Eğitim Merkezi'ni (GUHEM) ziyaret etti. Bayraktar, GUHEM'in çocuklara uzay ve havacılık sevdasını aşılayacak bir merkez olduğunu söyledi."
Bilim Teknoloji,Türk jetleri yerli motorla piste güvenle iniyor,"TÜMOSAN Motor ve Traktör Sanayi AŞ (TÜMOSAN) Genel Müdürü Halim Tosun, şirketin üretimi olan uçak durdurma sistemlerinin jet ve uçakların kısa pistlerde güvenli durmasını sağladığını söyledi."
Bilim Teknoloji,TUSAŞ'tan MMU paylaşımı: Gökyüzünü dolduracak kanatlarıyla,"Türk Havacılık ve Uzay Sanayii (TUSAŞ), Türkiye'nin en önemli teknoloji projelerinden olan Milli Muharip Uçak için yeni bir video yayınladı."
Bilim Teknoloji,Ahtapotlar dinozorlardan önce yaşamış olabilir,"Bilim insanları, ahtapotların dinozorlardan önce yaşamış olabileceğini ileri sürdü."
Bilim Teknoloji,Solar Orbiter uydusu Güneş'e en yakın konuma ulaşacak,"Avrupa Uzay Ajansı'nın Güneş gözlem uydusu Solar Orbiter'in 26 Mart'ta Güneş'e en yakın konumuna erişecek. Uzaydaki bu eşsiz konumun, bilim adamlarının uzay havasını ve Güneş-Dünya bağlantısını incelemesine daha fazla imkan sunması bekleniyor."
Bilim Teknoloji,Türkiye'nin teknoloji atılımları birer birer hayata geçiyor,"Türkiye'nin, sağlıktan uzay çalışmalarına, insansız hava araçlarından elektrikli ve sürücüsüz yerli otomobillere kadar birçok alanda önemli atılımları meyvelerini vermeye başladı."
Bilim Teknoloji,Antarktika'daki Türk bilim ekibi Türkiye'ye dönüyor,"Ulusal Antarktika Bilim Seferi kapsamında, kıtadaki çalışmalarını tamamlayan bilim heyeti, 46 gün süren seferin ardından bu akşam Türkiye'ye dönüş yapacak."
Bilim Teknoloji,İran Noor-2 uydusunu başarıyla fırlattı,İran Devrim muhafizları ordusunun Noor-2 uydusunu başarıyla yörüngeye yerleştirdiği açıklandı.
Bilim Teknoloji,Bilim insanları farelerde doku gençleştirmeyi başardı,"Bilim insanları, ""orta yaşlı"" farelere gen tedavisi uygulayarak doku gençleştirme işlemini başarıyla gerçekleştirdi."
ÖZEL HABER,TÜBİTAK Bilim Olimpiyatları başlıyor,"Gençler, hayallerine artık daha yakın. Ortaokul ve lise düzeyindeki öğrenciler için TÜBİTAK Bilim Olimpiyatları 2022 yılı başvuruları başladı."
Bilim Teknoloji,Deneyap Teknoloji Atölyelerinde 4380 öğrenci eğitim görecek,"Deneyap Türkiye öğrenci seçme sınavlarında başarılı olan 4 bin 380 öğrenci, Deneyap Teknoloji Atölyelerinde eğitim görmeye hak kazandı."
Bilim Teknoloji,Samsung’dan Rusya kararı: Sevkiyatlar durdu,"Samsung, Rusya'ya yapılan sevkiyatların askıya alındığını ve 6 milyon dolarlık yardım bağışladığını açıkladı."
Bilim Teknoloji,"Microsoft, Rusya'da tüm hizmetlerini durdurdu","Teknoloji devlerinden Microsoft, Rusya'da ürün satışlarını ve hizmetlerini askıya aldı."
Bilim Teknoloji,Google’dan Rusya’ya bir yaptırım daha,"Google, Rusya'daki tüm reklam satışlarını durdurdu."
Bilim Teknoloji,Türkiye'nin ilk Kuş Çarpma Test Tesisi kuruluyor,"TUSAŞ, havacılık projelerinde kullanılacak yeni bir altyapıyı ülkeye kazandırıyor. Milli Muharip Uçak ve Hürjet gibi özgün platformların kuş çarpma testi ""Kuş Çarpma Test Tesisi""nde gerçekleştirilecek."
Bilim Teknoloji,TEKNOFEST model uydu yarışması için başvurular başladı,TEKNOFEST bünyesinde düzenlenen Model Uydu Yarışması için başvurular başladı. Toplam 90 bin lira ödüllün dağıtılacağı yarışmanın son başvuru tarihi 7 Mart.
Bilim Teknoloji,Türk mühendis 4 milyon liralık uçuş simülatörünü 120 bin liraya üretti,"Samsun Üniversitesi Uçuş Akademisi'nde görevli simülasyon mühendisi Emre Bulat, ileri seviye pilotaj eğitimi gören öğrencilerin eğitim yaptığı ve yurt dışından yaklaşık 4 milyon liraya alınan uçuş simülatörünü 120 bin lira maliyetle geliştirdi."
Bilim Teknoloji,"Milli siber güvenlik duvarı Kalkan, gücünü ispatladı",HAVELSAN'ın web uygulamalarını korumak üzere özel olarak geliştirdiği Kalkan'ın sahip olduğu yetkinlikler uluslararası düzeyde belgelendi.
Bilim Teknoloji,Elektrikli araçlar TEKNOFEST'te yarışıyor,"TEKNOFEST'te en verimli elektrikli araçların rekabet edeceği yarışma, Elektromobil ve Hidromobil olmak üzere iki kategoride düzenlenecek. Son başvuru tarihi 7 Mart."
Bilim Teknoloji,"TCG Anadolu, ilk teknik seyrine hazırlanıyor","Türkiye'nin en büyük savaş gemisi olan TCG Anadolu, ilk teknik seyrine çıkmaya hazırlanıyor."
Bilim Teknoloji,"Twitter, podcast özelliğini test ediyor","Twitter, platformda podcast içeriklerine özel bir sekme üzerinde çalışıyor."
Bilim Teknoloji,Kemik yaşını yapay zeka ile tespit edecek sistem geliştirildi,"Akademisyenler, kemik yaşını yapay zeka ile bir dakikanın altında sürede tespit edecek sistem geliştirdi."
Bilim Teknoloji,"Netflix, Rusya'daki tüm projelerini durdurdu","Netflix, Rusya'da gelecekteki tüm projeleri ve satın almaları geçici olarak durdurdu."
Bilim Teknoloji,AKINCI B TİHA gökyüzüyle buluştu,Baykar tarafından yerli ve milli imkânlarla geliştirilen Bayraktar AKINCI TİHA’nın B modeli gökyüzüyle buluştu.
Bilim Teknoloji,TikTok maksimum video uzunluğunu 10 dakikaya yükseltiyor,"TikTok, platformdaki maksimum video uzunluğunu bir kez daha artırıyor, bu sefer üç dakikadan 10 dakikaya çıkıyor."
Bilim Teknoloji,Instagram’dan videolar için yeni özellik: 17 dilde otomatik altyazı,Instagram'da kullanımını kolaylaştıracak 'otomatik altyazı' özelliği 17 dil desteğiyle hayata geçti.
Bilim Teknoloji,Yerli parmak izi tanıma sistemiyle 2 milyon kimlik hazırlandı,Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü bünyesinde 81 ilde kullanıma alınan yerli parmak izi tanıma sistemi kullanılarak yaklaşık 2 milyon kimlik belgesi hazırlandı.
Bilim Teknoloji,Apple'dan Rusya'ya yaptırım: Satışlar durdu,Apple'ın Rusya'daki resmi internet sitesinden yapılan bütün satışlar durduruldu.
Bilim Teknoloji,"Meta, Rus devlet medyasını kullanıcılara önermeyecek","Meta, Rus devlet medyasının tüm Facebook ve Instagram kullanıcılarına önermeyi bıraktı."
Bilim Teknoloji,"Netflix, Rusya'ya resti çekti","Netflix, Ukrayna'da devam eden kriz nedeniyle, Rusya'nın yayın düzenlemelerini kabul etmeyeceğini açıkladı."
Bilim Teknoloji,YouTube: Russia Today ve Sputnik bağlantılı hesapları engelleyeceğiz,"YouTube, ""Avrupa'daki Russia Today ve Sputnik bağlantılı hesapları engellemeye hemen başlıyoruz"" açıklamasını yaptı."
Bilim Teknoloji,Siber dünyada da gerilim en üst düzeyde,"Rusya-Ukrayna krizinin bir boyutunda tanklar, uçaklar, füzeler olsa da madalyonun diğer yanında siber mücadele var. Rusya’nın ilk kez bu çapta siber saldırılara maruz kaldığını belirten uzmanlar, siber cephenin genişleyebileceği görüşünde."
Bilim Teknoloji,Sınırlar ASELSAN teknolojileriyle güçlendiriliyor,"ASELSAN'ın geliştirdiği teknolojilerin, Avrupa Birliği tarafından desteklenen proje kapsamında 352 sınır noktasına ait elektronik gözetleme sistemlerine kurulması amaçlanıyor."
Bilim Teknoloji,TEKNOFEST Karadeniz'de başvuru süresi 7 Mart'a uzatıldı,"TEKNOFEST Havacılık, Uzay ve Teknoloji Festivali kapsamında bu yıl 40 ana yarışma, 99 farklı kategoride düzenlenen teknoloji yarışmalarının son başvuru tarihi gençlerden gelen yoğun talep üzerine 7 Mart'a kadar uzatıldı."
Bilim Teknoloji,Türkiye'ye yönelik siber saldırılar azaldı,"Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu, yerli ve milli uygulamalarla Türkiye'nin ""siber kalkanını"" güçlendirdiklerini belirterek, ""2020 yılında 118 bin 470 siber saldırı gerçekleşirken bu sayı 2021'de 84 bin 113'e geriledi."" dedi."
Bilim Teknoloji,Facebook’tan Rus medyasına reklam yasağı,"Facebook, Rusya devlet medyasının reklam yayınlamasını ve para kazanmasını yasakladı."
Bilim Teknoloji,"Apple ve Google, Rusya’da hizmetlerini durdurmaya başladı",Rusya'nın Ukrayna'ya saldırması nedeniyle teknoloji dünyasından da yaptırımlar gelmeye başladı. Apple Pay ve Google Pay hizmetleri çevrimdışı oldu.
Bilim Teknoloji,TOGG'un etkisiyle elektrikli araçların yaygınlaşması bekleniyor,"Teknik Elemanlar Derneği İstanbul İl Başkanı Abdullah Karadağ, yakında devreye girecek TOGG otomobilinin de etkisiyle elektrikli araçlarda yaygınlaşmanın ivme kazanacağını söyledi."
Bilim Teknoloji,Ukrayna'dan Apple’a açık çağrı: Rus kullanıcıları engelleyin,"Ukrayna Başbakan Yardımcısı Mykhailo Fedorov, Apple’a Rus erişimini engellemesini talep eden bir mektup gönderdi."
Bilim Teknoloji,Turizm Teknolojileri Yarışması'na başvuru sürüyor,"TEKNOFEST kapsamında bu yıl 40 ana yarışma-97 farklı kategoride düzenlenen yarışmalardan biri olan Turizm Teknolojileri Yarışması'nda, Türkiye'nin tanıtımında fark yaratacak, yeni fikirlerin çıkış noktası olacak projeler mücadele edecek."
Bilim Teknoloji,Clubhouse’a beklenen özellik geldi,Davetiye sistemiyle çalışan sosyal medya ağı Clubhouse artık sadece sesli sohbet odaklı bir uygulama değil.
Bilim Teknoloji,"Facebook, Ukrayna için Özel Operasyon Merkezi kurdu","Facebook, Ukrayna'daki çatışmayı izlemek için özel bir operasyon merkezi kurdu ve ülkedeki kullanıcıların güvenlik amacıyla sosyal medya profillerini kilitleyebilmeleri için bir özellik başlattı."
Bilim Teknoloji,"Twitter, Ukrayna'dan görüntüler paylaşan hesapları önce banladı, sonra özür diledi","Twitter, Ukrayna’dan Rus askeri faaliyetlerini paylaşan hesapları yanlışlıkla kaldırdığını kabul etti."
Bilim Teknoloji,Meta'dan yapay zeka destekli evrensel bir tercüman oluşturma planı,"Facebook, Instagram ve WhatsApp'ın sahibi Meta, tüm dillerdeki konuşmaların anında çevirisini sağlamayı amaçlayan bir yapay zeka projesi üzerinde çalıştığını duyurdu."
Bilim Teknoloji,Trump'ın sosyal medya platformu Truth Social'da yasaklar başladı,"Donald Trump'ın yeni sosyal medya platformu Truth Social, teknik sorunlarla uğraşırken diğer yandan kullanıcıları yasaklamaya başladı."
Bilim Teknoloji,TEKNOFEST Azerbaycan Teknoloji Yarışmalarına başvuru uzatıldı,TEKNOFEST kapsamında her yıl teknoloji meraklısı gençlerin katıldığı ve bu yıl Azerbaycan’da yapılacak TEKNOFEST Azerbaycan Teknoloji Yarışmalarının başvuru süresi uzatıldı.
Bilim Teknoloji,TEKNOFEST başvurularında son haftaya girildi,"Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST yarışmalarına başvuru sürecinde son haftaya girildi. Yarışmalara başvurular 28 Şubat'a kadar yapılabilecek."
Bilim Teknoloji,Yapay zekayla ilgili meslek standardı belirleyen ilk ülke Türkiye oldu,"Türkiye, yapay zekayla ilgili meslek standardı belirleyen ilk ülke olurken, yapay zeka ve dijital dönüşüm alanında standardı belirlenen meslek sayısı 30'a yükseldi."
Bilim Teknoloji,Facebook Reels özelliğini kullanıma sundu,"Meta, Reels özelliğini Facebook'ta kullanıma sunmasıyla TikTok'a karşı savaşını bir sonraki aşamaya taşıyor."
Bilim Teknoloji,Uzay ve roket sektörü Gebze'de buluşacak,"""5'inci Uzay Günleri-Artemis"" etkinliği, Türk uzay ve roket sektörünü 24-25 Şubat'ta Gebze Teknik Üniversitesi'nde bir araya getirecek."
Bilim Teknoloji,Twitter’da kullanıcılara nefes aldıracak özellik,"Twitter’da kullanıcılar, kendilerinden bahsedilen tweet’lerden çıkabilecek."
Bilim Teknoloji,Türkiye'de ilk cep telefonu görüşmesinin üzerinden 28 yıl geçti,"Dönemin başbakanı Tansu Çiller'in, 23 Şubat 1994'te dönemin Cumhurbaşkanı Süleyman Demirel'i aramasıyla gerçekleşen ilk cep telefonu görüşmesinin üzerinden 28 yıl geçti."
